bound       nt        rt           ops          adds       removes       ops/sec         rel      treeSize      balanced
-----       --        --           ---           ---           ---           ---         ---        ------        ------
      16       1      2.03        90,000        42,347        47,653     44,247.79        1.00             8            No
      16       2      2.03       190,000        89,557       100,443     93,503.94        2.11             8           Yes
      16       4      2.04       380,000       178,785       201,215    186,092.07        4.22             8            No
      16       8      2.19       760,000       357,430       402,570    347,349.18        8.44             8           Yes
      16      16      2.06       960,000       451,778       508,222    465,341.74       10.67             8            No
      16      32      2.37       970,000       456,109       513,891    409,628.38       10.78             8           Yes
     256       1      2.04       100,000        49,722        50,278     48,971.60        1.00           128            No
     256       2      2.11       200,000        99,356       100,644     94,786.73        2.00           128            No
     256       4      2.14       380,000       188,993       191,007    177,902.62        3.80           128            No
     256       8      2.20       760,000       378,833       381,167    345,926.26        7.60           128            No
     256      16      2.22     1,000,000       497,836       502,164    449,640.29       10.00           128            No
     256      32      2.28       960,000       478,720       481,280    421,792.62        9.60           128            No
   4,096       1      2.09       100,000        49,960        50,040     47,824.01        1.00         2,048            No
   4,096       2      2.09       190,000        95,171        94,829     90,909.09        1.90         2,048            No
   4,096       4      2.20       390,000       195,158       194,842    177,192.19        3.90         2,048            No
   4,096       8      2.20       750,000       374,098       375,902    340,444.85        7.50         2,048            No
   4,096      16      2.21       980,000       489,587       490,413    443,438.91        9.80         2,048            No
   4,096      32      2.37       970,000       484,031       485,969    408,937.61        9.70         2,048            No
  65,535       1      2.04       100,000        50,049        49,951     48,899.76        1.00        31,155            No
  65,535       2      2.13       200,000        99,871       100,129     93,940.82        2.00        32,478            No
  65,535       4      2.15       360,000       179,820       180,180    167,832.17        3.60        32,747            No
  65,535       8      2.16       740,000       369,850       370,150    341,959.33        7.40        32,770            No
  65,535      16      2.24       990,000       494,790       495,210    441,767.07        9.90        32,768            No
  65,535      32      2.39     1,000,000       499,840       500,160    418,410.04       10.00        32,768            No
1,048,576       1      2.08        90,000        45,009        44,991     43,206.91        1.00       421,699            No
1,048,576       2      2.10       180,000        89,516        90,484     85,796.00        2.00       429,794            No
1,048,576       4      2.11       360,000       180,412       179,588    170,940.17        4.00       445,795            No
1,048,576       8      2.18       740,000       369,390       370,610    339,605.32        8.22       468,656            No
1,048,576      16      2.26     1,040,000       520,383       519,617    459,566.95       11.56       482,623            No
1,048,576      32      2.25       960,000       479,259       480,741    426,477.12       10.67       479,483            No
