bound       nt        rt           ops          adds       removes       ops/sec         rel      treeSize      balanced
-----       --        --           ---           ---           ---           ---         ---        ------        ------
      16       1      2.03        90,000        42,136        47,864     44,422.51        1.00             8            No
      16       2      2.04       190,000        89,115       100,885     93,228.66        2.11             8            No
      16       4      2.06       380,000       178,953       201,047    184,735.05        4.22             8            No
      16       8      2.17       760,000       358,085       401,915    350,877.19        8.44             8            No
      16      16      2.06       960,000       451,262       508,738    466,926.07       10.67             8            No
      16      32      2.34       990,000       465,393       524,607    423,438.84       11.00             8           Yes
     256       1      2.02       100,000        50,114        49,886     49,529.47        1.00           128            No
     256       2      2.11       200,000        99,453       100,547     94,741.83        2.00           128            No
     256       4      2.12       380,000       189,326       190,674    179,076.34        3.80           128            No
     256       8      2.18       750,000       372,732       377,268    344,194.58        7.50           128            No
     256      16      2.22       980,000       488,402       491,598    441,839.50        9.80           128            No
     256      32      2.35       990,000       492,982       497,018    421,635.43        9.90           128            No
   4,096       1      2.04       100,000        50,041        49,959     49,043.65        1.00         2,048            No
   4,096       2      2.11       200,000       100,060        99,940     94,741.83        2.00         2,048            No
   4,096       4      2.13       380,000       190,138       189,862    178,571.43        3.80         2,048            No
   4,096       8      2.21       740,000       369,754       370,246    335,296.78        7.40         2,048            No
   4,096      16      2.31     1,030,000       515,063       514,937    446,854.66       10.30         2,048            No
   4,096      32      2.35       960,000       479,646       480,354    409,032.81        9.60         2,048            No
  65,535       1      2.10       100,000        49,794        50,206     47,596.38        1.00        31,189            No
  65,535       2      2.13       200,000       100,234        99,766     93,984.96        2.00        32,468            No
  65,535       4      2.14       370,000       184,312       185,688    172,655.16        3.70        32,737            No
  65,535       8      2.17       730,000       364,721       365,279    337,182.45        7.30        32,767            No
  65,535      16      2.29     1,030,000       514,848       515,152    449,585.33       10.30        32,768            No
  65,535      32      2.31       960,000       480,010       479,990    416,305.29        9.60        32,768            No
1,048,576       1      2.11        90,000        44,996        45,004     42,674.25        1.00       421,545            No
1,048,576       2      2.10       180,000        89,772        90,228     85,510.69        2.00       429,718            No
1,048,576       4      2.13       360,000       179,769       180,231    168,618.27        4.00       444,555            No
1,048,576       8      2.17       720,000       360,013       359,987    331,797.24        8.00       468,124            No
1,048,576      16      2.31       970,000       484,827       485,173    419,731.72       10.78       479,585            No
1,048,576      32      2.34       960,000       480,630       479,370    410,256.41       10.67       479,213            No
