bound       nt        rt           ops          adds       removes       ops/sec         rel      treeSize      balanced
-----       --        --           ---           ---           ---           ---         ---        ------        ------
      16       1      2.09       100,000        47,028        52,972     47,778.31        1.00             8            No
      16       2      2.03       190,000        89,146       100,854     93,734.58        1.90             8           Yes
      16       4      2.07       380,000       179,461       200,539    183,930.30        3.80             8            No
      16       8      2.19       750,000       353,153       396,847    341,841.39        7.50             8            No
      16      16      2.05       960,000       451,902       508,098    468,978.99        9.60             8            No
      16      32      2.34       980,000       460,904       519,096    418,982.47        9.80             8            No
     256       1      2.08       100,000        49,950        50,050     47,961.63        1.00           128            No
     256       2      2.08       200,000        99,877       100,123     96,107.64        2.00           128            No
     256       4      2.10       380,000       189,517       190,483    180,780.21        3.80           128            No
     256       8      2.20       760,000       377,503       382,497    346,083.79        7.60           128            No
     256      16      2.22       980,000       488,340       491,660    442,038.79        9.80           128            No
     256      32      2.43       960,000       477,735       482,265    395,550.06        9.60           128            No
   4,096       1      2.10       100,000        50,134        49,866     47,573.74        1.00         2,048            No
   4,096       2      2.12       200,000        99,709       100,291     94,428.71        2.00         2,048            No
   4,096       4      2.13       380,000       189,908       190,092    178,739.42        3.80         2,048            No
   4,096       8      2.19       740,000       369,580       370,420    337,283.50        7.40         2,048            No
   4,096      16      2.29     1,010,000       504,786       505,214    441,626.59       10.10         2,048            No
   4,096      32      2.45       960,000       478,772       481,228    392,477.51        9.60         2,048            No
  65,535       1      2.13       100,000        49,898        50,102     46,992.48        1.00        31,276            No
  65,535       2      2.18       190,000        94,827        95,173     87,116.00        1.90        32,314            No
  65,535       4      2.15       370,000       185,198       184,802    171,933.09        3.70        32,749            No
  65,535       8      2.17       720,000       360,289       359,711    332,103.32        7.20        32,768            No
  65,535      16      2.27     1,020,000       510,824       509,176    449,537.24       10.20        32,768            No
  65,535      32      2.35       980,000       490,207       489,793    416,489.59        9.80        32,768            No
1,048,576       1      2.11        90,000        44,733        45,267     42,613.64        1.00       421,440            No
1,048,576       2      2.12       180,000        90,047        89,953     84,825.64        2.00       429,837            No
1,048,576       4      2.14       370,000       184,978       185,022    172,655.16        4.11       446,301            No
1,048,576       8      2.17       720,000       360,716       359,284    332,103.32        8.00       468,820            No
1,048,576      16      2.25       980,000       490,453       489,547    434,975.59       10.89       480,599            No
1,048,576      32      2.33       960,000       480,545       479,455    411,840.41       10.67       479,540            No
